City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
6,Meulaboh,ID,77.63,overcast clouds,4.1363,96.1285,Kost Pria
7,Koumac,NC,81.86,overcast clouds,-20.5667,164.2833,Le Monitel
13,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
16,Saquarema,BR,84.22,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
17,Kapaa,US,78.78,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Rikitea,PF,79.5,light rain,-23.1203,-134.9692,People ThankYou
24,San Marcos,US,87.48,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
25,Pacific Grove,US,80.58,clear sky,36.6177,-121.9166,Lovers Point Inn
27,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Machala,EC,84.15,overcast clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
36,Hithadhoo,MV,83.59,scattered clouds,-0.6,73.0833,Scoop Guest House
39,Lagos,NG,82.72,overcast clouds,6.5833,3.75,
43,Tonantins,BR,80.56,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
47,Port-Gentil,GA,82.22,light rain,-0.7193,8.7815,Fengshui Residence
50,Santa Cruz,BO,89.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
51,Lompoc,US,84.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
57,Sabang,ID,81.41,overcast clouds,5.8933,95.3214,Hotel Citra
62,Coaraci,BR,81.84,overcast clouds,-14.6408,-39.5511,Pousada Alternativa Coaraci
66,Cidreira,BR,75.94,clear sky,-30.1811,-50.2056,Hotel Castelo
67,Samarai,PG,81.12,overcast clouds,-10.6167,150.6667,Nuli Sapi
71,Tomatlan,MX,85.46,clear sky,19.9333,-105.25,El Salvial
73,Aquin,HT,79.54,scattered clouds,18.2833,-73.4,Asheev Beach
74,Wad Rawah,SD,85.78,scattered clouds,15.1603,33.1397,ود الترابي
77,Bom Jesus Da Lapa,BR,81.59,heavy intensity rain,-13.255,-43.4181,Hotel das Nações
78,Touho,NC,81.5,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
81,Kalianget,ID,79.63,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
82,Butaritari,KI,80.74,moderate rain,3.0707,172.7902,Isles Sunset Lodge
84,Puerto Ayora,EC,87.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Blackwater,AU,85.23,light rain,-23.5833,148.8833,Blackwater Motor Inn
89,Caravelas,BR,77.81,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
91,Laguna,US,76.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
94,Buin,CL,89.92,clear sky,-33.7333,-70.75,Paihuen
96,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
102,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
103,Avarua,CK,86.05,few clouds,-21.2078,-159.775,Paradise Inn
104,Kismayo,SO,78.33,scattered clouds,-0.3582,42.5454,Agan-Hotel
109,Tual,ID,83.59,broken clouds,-5.6667,132.75,Grand Vilia Hotel
116,Porto Seguro,BR,81.12,few clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
119,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
120,Jacareacanga,BR,75.58,light rain,-6.2222,-57.7528,Casa do Ian😎
121,Tarakan,ID,76.57,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
122,Kavieng,PG,81.16,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
126,Seminole,US,83.1,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
127,Kidal,ML,85.5,broken clouds,18.4411,1.4078,
129,Moroni,KM,79.54,overcast clouds,-11.7022,43.2551,Hotel les Arcades
136,Alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
140,Luganville,VU,78.03,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
144,Cabo San Lucas,MX,87.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
145,Cap Malheureux,MU,79.29,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
150,Mildura,AU,75.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
152,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
153,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
163,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
166,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
167,Cairns,AU,85.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
173,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
178,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
180,Sulangan,PH,79.99,few clouds,11.1373,123.7228,Maia's Beach Resort
181,Jawhar,SO,76.28,overcast clouds,2.7809,45.5005,hantiwadaag village part one
183,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
186,Wajid,SO,80.44,overcast clouds,3.8093,43.2471,xamdihotelresturant114
191,Arlit,NE,81.61,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
192,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
193,Takoradi,GH,79.97,scattered clouds,4.8845,-1.7554,Raybow International Hotel
195,Santiago,CL,89.04,clear sky,-33.4569,-70.6483,Hotel Panamericano
197,Bubaque,GW,76.51,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
201,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
208,Kumba,CM,75.06,overcast clouds,4.6363,9.4469,El Bethel Hotel
211,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
215,Luwuk,ID,77.58,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
216,Tessalit,ML,77.9,clear sky,20.1986,1.0114,
221,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
225,San Patricio,US,75.88,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
