,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Noumea,NC,-22.2763,166.4572,84.18,99,63,7.87,broken clouds
1,Katsuura,JP,35.1333,140.3,48.18,81,95,9.4,overcast clouds
2,Husavik,IS,66.0449,-17.3389,42.71,89,100,25.08,overcast clouds
3,Ordynskoye,RU,54.3656,81.8994,2.8,98,70,8.21,broken clouds
4,Yellowknife,CA,62.456,-114.3525,2.41,58,0,2.3,clear sky
5,Jamestown,US,42.097,-79.2353,45.72,40,75,8.05,broken clouds
6,Meulaboh,ID,4.1363,96.1285,77.63,85,100,4.7,overcast clouds
7,Koumac,NC,-20.5667,164.2833,81.86,74,100,4.68,overcast clouds
8,Setermoen,NO,68.861,18.3486,33.44,82,100,3.0,overcast clouds
9,Kem,RU,64.9555,34.5793,32.18,92,100,8.43,overcast clouds
10,Bethel,US,41.3712,-73.414,48.76,49,0,8.05,clear sky
11,Punta Arenas,CL,-53.15,-70.9167,50.11,87,100,5.75,light rain
12,Portland,US,45.5234,-122.6762,55.45,93,100,3.44,light rain
13,Hilo,US,19.7297,-155.09,80.33,77,75,11.5,broken clouds
14,Tasiilaq,GL,65.6145,-37.6368,32.16,75,100,28.97,overcast clouds
15,Pisco,PE,-13.7,-76.2167,78.85,61,0,8.05,clear sky
16,Saquarema,BR,-22.92,-42.5103,84.22,85,1,8.81,clear sky
17,Kapaa,US,22.0752,-159.319,78.78,75,0,9.22,moderate rain
18,Mataura,NZ,-46.1927,168.8643,62.44,50,89,1.48,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,79.5,70,22,18.81,light rain
20,Solwezi,ZM,-12.1688,26.3894,61.93,98,99,3.89,overcast clouds
21,Riyadh,SA,24.6877,46.7219,69.94,26,35,10.8,scattered clouds
22,Enna,IT,37.5588,14.2892,36.75,83,1,3.96,clear sky
23,Hobart,AU,-42.8794,147.3294,69.22,77,40,6.91,scattered clouds
24,San Marcos,US,33.1434,-117.1661,87.48,23,0,8.05,clear sky
25,Pacific Grove,US,36.6177,-121.9166,80.58,59,0,11.5,clear sky
26,Albany,US,42.6001,-73.9662,37.81,61,96,6.06,overcast clouds
