City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,78.4,77,49,18.97,PF,2022-02-25 15:29:24
1,China,25.7,-99.2333,46.17,75,100,17.92,MX,2022-02-25 15:31:24
2,Ballina,-28.8667,153.5667,75.16,85,100,8.05,AU,2022-02-25 15:31:24
3,Tolaga Bay,-38.3667,178.3,58.42,91,54,6.55,NZ,2022-02-25 15:31:25
4,Harper,4.375,-7.7169,85.33,67,21,7.9,LR,2022-02-25 15:31:25
5,Cape Town,-33.9258,18.4232,79.12,54,20,24.16,ZA,2022-02-25 15:31:25
6,Iqaluit,63.7506,-68.5145,-20.47,67,100,15.01,CA,2022-02-25 15:29:05
7,East London,-33.0153,27.9116,76.14,73,40,17.27,ZA,2022-02-25 15:26:35
8,Mutsu,41.2894,141.2169,39.22,52,75,18.41,JP,2022-02-25 15:31:26
9,Beringovskiy,63.05,179.3167,14.25,93,97,6.06,RU,2022-02-25 15:31:26
10,Qaanaaq,77.484,-69.3632,-2.0,55,96,8.21,GL,2022-02-25 15:31:26
11,Hobart,-42.8794,147.3294,58.86,68,100,2.3,AU,2022-02-25 15:26:47
12,Vaini,-21.2,-175.2,75.36,100,75,2.3,TO,2022-02-25 15:31:27
13,Lata,40.1629,-8.3327,68.49,46,100,7.4,PT,2022-02-25 15:31:27
14,Ribeira Grande,38.5167,-28.7,63.0,63,40,13.8,PT,2022-02-25 15:31:28
15,Ewa Beach,21.3156,-158.0072,73.09,74,20,5.75,US,2022-02-25 15:31:28
16,Dunedin,-45.8742,170.5036,58.8,83,9,4.07,NZ,2022-02-25 15:31:29
17,New Norfolk,-42.7826,147.0587,58.5,57,93,0.54,AU,2022-02-25 15:31:29
18,Leningradskiy,69.3833,178.4167,1.83,92,100,6.33,RU,2022-02-25 15:31:30
19,Albany,42.6001,-73.9662,27.68,84,100,3.0,US,2022-02-25 15:28:21
20,Busselton,-33.65,115.3333,68.09,78,26,17.69,AU,2022-02-25 15:31:30
21,Grindavik,63.8424,-22.4338,39.67,100,100,42.57,IS,2022-02-25 15:31:31
22,Egvekinot,66.3167,-179.1667,15.66,94,100,9.55,RU,2022-02-25 15:31:31
23,Batagay-Alyta,67.8006,130.4114,-3.8,97,100,5.23,RU,2022-02-25 15:31:31
24,Saldanha,-33.0117,17.9442,82.45,84,74,25.5,ZA,2022-02-25 15:31:32
25,Tiksi,71.6872,128.8694,-8.63,99,100,6.38,RU,2022-02-25 15:31:32
26,Puerto Carreno,6.189,-67.4859,85.98,58,75,10.36,CO,2022-02-25 15:31:32
27,Venado Tuerto,-33.7456,-61.9688,83.89,14,1,10.27,AR,2022-02-25 15:30:12
28,Longyearbyen,78.2186,15.6401,-2.36,71,40,12.66,SJ,2022-02-25 15:31:33
29,Rikitea,-23.1203,-134.9692,78.55,70,14,4.52,PF,2022-02-25 15:31:33
30,Dikson,73.5069,80.5464,6.44,90,100,6.38,RU,2022-02-25 15:31:33
31,Saint-Philippe,-21.3585,55.7679,80.19,85,82,6.6,RE,2022-02-25 15:31:34
32,Torbay,47.6666,-52.7314,23.58,53,40,25.32,CA,2022-02-25 15:31:34
33,Ushuaia,-54.8,-68.3,53.22,82,40,4.61,AR,2022-02-25 15:26:39
34,Bluff,-46.6,168.3333,56.8,86,100,16.6,NZ,2022-02-25 15:31:34
35,Antalaha,-14.9003,50.2788,79.3,85,100,3.94,MG,2022-02-25 15:31:35
36,Pontal Do Parana,-25.6533,-48.5128,97.41,62,66,9.37,BR,2022-02-25 15:31:35
37,Mataura,-46.1927,168.8643,56.48,92,100,3.27,NZ,2022-02-25 15:31:35
38,Bara,10.3744,10.7288,94.32,9,3,6.87,NG,2022-02-25 15:31:36
39,Nicoya,10.1483,-85.452,83.75,36,32,13.67,CR,2022-02-25 15:31:36
40,Kapaa,22.0752,-159.319,70.12,81,100,6.91,US,2022-02-25 15:31:36
41,Barrow,71.2906,-156.7887,-3.98,77,0,25.32,US,2022-02-25 15:28:08
42,Ancud,-41.8697,-73.8203,65.43,74,99,14.58,CL,2022-02-25 15:31:37
43,Guerrero Negro,27.9769,-114.0611,54.93,47,73,6.76,MX,2022-02-25 15:26:39
44,Fortuna,40.5982,-124.1573,32.09,100,0,10.36,US,2022-02-25 15:31:38
45,Juegang,32.3174,121.1855,40.91,88,0,8.77,CN,2022-02-25 15:32:38
46,Asau,46.4333,26.4,49.39,56,51,2.73,RO,2022-02-25 15:32:38
47,Sibolga,1.7427,98.7792,76.5,90,99,4.05,ID,2022-02-25 15:32:39
48,Toktogul,41.8708,72.9402,32.99,86,98,2.15,KG,2022-02-25 15:32:39
49,Paris,48.8534,2.3488,52.57,57,0,12.66,FR,2022-02-25 15:29:52
50,Jamestown,42.097,-79.2353,34.09,69,100,14.97,US,2022-02-25 15:27:56
51,Cap Malheureux,-19.9842,57.6142,81.46,80,84,1.01,MU,2022-02-25 15:32:39
